label,num
变更请求,2
案外人将债权转让给原告并通知被告,0
原告出示鉴定书,1
被告拖欠剩余借款及利息,2
被告不承认借款,1
被告承担财产保全费,3
被告因与原告工程往来欠款（被告对原告欠款）,0
被告仅支付利息,0
原、被告系亲属关系,5
被告欠第三人债务,0
被告承担原告律师代理费,5
双方延长借款期限,1
解除合约,1
支付律师费,87
主体资格证明,12
债务人向原告借款,1
被告赔偿经济损失,2
支付违约金,960
被告多次向原告借款,14
第三方转让债权本金及利息给原告,2
后原告变更诉讼请求,1
被告就借款的变更重新出具借条,0
双方未约定保证方式,0
被告未履行担保义务,95
被告未尽保证责任,2
借款合同证明,3
未办理抵押登记手续,0
借款转让声明,1
原告向被告催讨欠款,2
被告拖欠借利息,1
被告承担连带清偿责任,64
双方约定如果逾期由被告向原告出具抵押物,0
被告出具了还款保证书,7
被告仅支付部分利息,9
被告立即向原告还款,62
双方签订借款合同,52
在借款给被告时原告收了部分利息,1
原告被告是夫妻关系,2
双方约定逾期利息,129
双方约定违约金,58
口头双方约定借款利息　　双方口头约定借款利息,0
借款转账支付,6
被告拖欠工资,2
被告提前偿还部分借款,0
被告违约,0
被告还欠借款,84
被告要求延长还款期限,0
被告承担案件受理费,4
借款人已死亡,3
双方又约定利息,5
被告未出席答辩,36
被告承担诉讼费,1611
被告连带承担诉讼费,0
借款人提供抵押,1
遗嘱,1
被告作房产抵押,2
债务人死亡,1
被告赔偿原告经济损失,0
约定如果逾期被告承担原告的交通费,0
法院撤销判决,1
赔偿利息损失,6
借条证明,164
现金缴款单,1
借条之一约定如果逾期被告支付违约金,0
被告与债务人系夫妻关系,1
双方签订保证借款协议,3
交通费证明,0
约定管辖法院,11
被告出具借款合同,3
双方经调解达成协议,1
两被告原系夫妻关系,5
被告重新出具一份借条,0
支付公告损失费,0
双方约定借款利息,1029
原告对抵押物有优先受偿权,0
被告仅偿还了部分借款,277
双方约定违约责任,8
支付原告因实现债权支出的费用,0
双方约定逾期付款违约金,6
庭审中明确诉讼请求,1
借款发生转借,0
原告放弃利息请求,8
双方约定被告承担诉讼费,2
双方签订借款协议,37
被告放弃抗辩权,0
被告提供保证,38
借款人去世，原告继承借款人的债权,0
支付逾期付费损失,2
部分借款双方约定借款利息,4
被告拖延利息,1
借款人由被告提供担保向原告借款,88
两被告系父女关系,2
庭审中变更请求,25
被告向原告支付代理律师费,0
原告曾起诉法院,0
借款发生在两被告夫妻关系存续期间,224
被告答辩称已支付部分欠款,0
双方口头约定还款期限,7
原告起诉要求判令,3346
被告拖欠利息,5
被告的家人为被告提供担保,0
借款人丧失偿还能力,2
被告承担律师费,52
被告承认借款,12
被告承担连带责任,145
被告变卖抵押物优先受偿,0
赔偿公告费损失,1
原告家人返还借据,1
庭审中原告放弃利息诉请,0
部分借款双方未约定借款利息,0
被告资产作抵押,1
口头约定借款期限,17
被告僅支付利息,1
双方约定保证金,2
原告变更诉讼请求要求判令,0
被告向案外人借款,2
原告出具收条,1
原告变更诉讼请求,470
双方约定借款期限,1745
借款人拖欠借款,219
口头双方约定借款期限,65
诉讼时效,1
被告出具抵押物,0
被告未出具借条,12
被告欠第三方借款,0
被告的家人替被告偿还了部分借款,4
